gene	isoname	is_basic
MEGF6	MEGF6-206	0
TPRG1L	TPRG1L-202	1
TPRG1L	TPRG1L-201	1
WRAP73	WRAP73-202	1
WRAP73	WRAP73-201	1
WRAP73	WRAP73-204	0
WRAP73	WRAP73-205	0
WRAP73	WRAP73-203	0
TP73	TP73-208	1
TP73	TP73-211	1
TP73	TP73-202	1
TP73	TP73-203	1
TP73	TP73-201	1
TP73	TP73-213	1
TP73	TP73-209	1
TP73	TP73-204	1
TP73	TP73-205	1
TP73	TP73-206	1
TP73	TP73-207	1
CCDC27	CCDC27-201	1
SMIM1	SMIM1-204	1
SMIM1	SMIM1-203	1
SMIM1	SMIM1-201	1
SMIM1	SMIM1-202	0
LRRC47	LRRC47-201	1
CEP104	CEP104-226	1
CEP104	CEP104-202	1
CEP104	CEP104-212	1
CEP104	CEP104-221	1
CEP104	CEP104-220	1
CEP104	CEP104-211	1
CEP104	CEP104-210	1
CEP104	CEP104-218	1
CEP104	CEP104-203	1
CEP104	CEP104-206	1
CEP104	CEP104-208	1
CEP104	CEP104-201	1
DFFB	DFFB-211	1
DFFB	DFFB-201	1
DFFB	DFFB-204	1
C1orf174	C1orf174-201	1
AJAP1	AJAP1-202	1
AJAP1	AJAP1-201	1
NPHP4	NPHP4-201	1
NPHP4	NPHP4-211	1
KCNAB2	KCNAB2-225	0
KCNAB2	KCNAB2-207	0
KCNAB2	KCNAB2-206	1
KCNAB2	KCNAB2-242	1
KCNAB2	KCNAB2-248	1
KCNAB2	KCNAB2-233	0
KCNAB2	KCNAB2-211	0
KCNAB2	KCNAB2-245	0
KCNAB2	KCNAB2-222	1
KCNAB2	KCNAB2-208	0
KCNAB2	KCNAB2-202	1
KCNAB2	KCNAB2-214	1
KCNAB2	KCNAB2-209	1
KCNAB2	KCNAB2-203	1
KCNAB2	KCNAB2-238	1
KCNAB2	KCNAB2-228	1
KCNAB2	KCNAB2-219	1
KCNAB2	KCNAB2-243	1
KCNAB2	KCNAB2-220	1
KCNAB2	KCNAB2-226	0
KCNAB2	KCNAB2-246	1
KCNAB2	KCNAB2-201	1
KCNAB2	KCNAB2-244	1
KCNAB2	KCNAB2-205	1
KCNAB2	KCNAB2-215	1
KCNAB2	KCNAB2-204	1
KCNAB2	KCNAB2-235	0
KCNAB2	KCNAB2-212	1
KCNAB2	KCNAB2-236	1
CHD5	CHD5-201	1
CHD5	CHD5-204	0
RPL22	RPL22-201	1
RPL22	RPL22-207	1
RPL22	RPL22-205	0
RPL22	RPL22-204	0
RPL22	RPL22-202	0
RPL22	RPL22-203	0
RNF207	RNF207-201	1
ICMT	ICMT-201	1
HES3	HES3-201	1
GPR153	GPR153-201	1
ACOT7	ACOT7-210	1
ACOT7	ACOT7-202	1
ACOT7	ACOT7-203	1
ACOT7	ACOT7-204	1
ACOT7	ACOT7-209	1
ACOT7	ACOT7-201	1
ACOT7	ACOT7-207	0
HES2	HES2-203	1
HES2	HES2-202	1
HES2	HES2-201	1
HES2	HES2-205	1
HES2	HES2-206	1
ESPN	ESPN-217	1
ESPN	ESPN-215	1
ESPN	ESPN-202	0
ESPN	ESPN-212	0
ESPN	ESPN-211	0
ESPN	ESPN-201	1
ESPN	ESPN-204	1
ESPN	ESPN-206	0
ESPN	ESPN-209	0
ESPN	ESPN-213	0
ESPN	ESPN-207	0
ESPN	ESPN-216	0
ESPN	ESPN-203	0
ESPN	ESPN-208	0
TNFRSF25	TNFRSF25-221	0
TNFRSF25	TNFRSF25-204	1
TNFRSF25	TNFRSF25-205	1
TNFRSF25	TNFRSF25-203	1
TNFRSF25	TNFRSF25-202	1
TNFRSF25	TNFRSF25-201	1
TNFRSF25	TNFRSF25-214	0
PLEKHG5	PLEKHG5-211	1
PLEKHG5	PLEKHG5-207	1
PLEKHG5	PLEKHG5-202	1
PLEKHG5	PLEKHG5-201	1
PLEKHG5	PLEKHG5-203	1
PLEKHG5	PLEKHG5-206	1
PLEKHG5	PLEKHG5-204	1
PLEKHG5	PLEKHG5-208	1
PLEKHG5	PLEKHG5-213	1
PLEKHG5	PLEKHG5-205	1
PLEKHG5	PLEKHG5-223	1
PLEKHG5	PLEKHG5-219	1
PLEKHG5	PLEKHG5-212	1
PLEKHG5	PLEKHG5-225	0
PLEKHG5	PLEKHG5-218	0
PLEKHG5	PLEKHG5-227	0
PLEKHG5	PLEKHG5-224	0
NOL9	NOL9-201	1
